Rank,Name,Walk Score,Transit Score,Bike Score,Population
154,West Brighton,78,61,49,"23,986"
155,Randall Manor,78,57,45,"2,036"
156,Tompkinsville,78,69,38,"8,383"
157,South Jamaica,78,65,53,"30,821"
158,Van Cortlandt Park,77,77,54,524
159,Fresh Meadows,77,68,64,"16,304"
160,Manhattan Beach,77,69,74,"6,532"
161,Queens Village,77,73,52,"56,540"
162,Forest Park,77,74,61,"4,374"
163,Westerleigh,76,57,49,"22,157"
164,Bergen Beach,76,76,53,"13,098"
165,New Dorp,76,64,57,"9,709"
166,Rosebank,76,63,52,"11,111"
167,Dongan Hills,75,64,47,"13,852"
168,Springfield Gardens,75,67,50,"8,826"
169,St. Albans,75,71,54,"42,290"
170,Eastchester,75,73,50,"6,715"
171,Castle Hill,75,66,71,"14,730"
172,Rochdale,75,72,51,"24,666"
173,Bellerose,74,65,56,"22,089"
174,Far Rockaway,74,61,65,"76,523"
175,Roosevelt Island,74,90,77,"11,608"
176,Clearview,74,52,61,"8,031"
177,Laurelton,74,63,54,"23,893"
178,Arrochar,73,68,55,550
179,Elm Park,73,60,58,"4,594"
180,Midland Beach,73,61,62,"8,667"
181,Little Neck,72,58,46,"10,216"
182,Bayside,72,62,57,"71,348"
183,Cambria Heights,72,61,52,"16,159"
184,South Beach,71,63,59,"13,647"
185,Mill Basin,71,72,53,"11,885"
186,Whitestone,71,56,52,"30,448"
187,Blissville,71,68,59,613
188,Holliswood,70,76,45,"8,048"
189,New Brighton,70,64,44,"10,494"
190,Clifton,70,64,49,"9,661"
191,Throgs Neck,70,53,50,"33,641"
192,Castleton Corners,70,58,44,"3,403"
193,Co-Op City,69,75,50,"35,450"
194,City Island,68,37,68,"4,307"
195,Graniteville,68,59,49,"11,295"
196,Manor Heights,68,50,42,"7,495"
197,Rosedale,67,62,51,"26,160"
198,New Dorp Beach,67,61,47,"6,298"
199,Rockaway Beach,67,58,69,"35,942"
200,Howard Beach,67,64,60,"26,240"
201,Grasmere,67,69,46,"5,993"
202,Glen Oaks,67,57,45,"12,540"
203,Richmond Town,65,49,47,"2,489"
204,Eltingville,65,61,47,"22,910"
205,Great Kills,65,56,47,"27,953"
206,Concord,65,66,43,"7,293"
207,Sunnyside,65,60,42,"4,822"
208,Country Club,64,63,50,"4,522"
209,Bulls Head,63,57,53,"13,820"
210,Brookville,63,67,51,"9,830"
211,Douglaston,62,54,39,"14,120"
212,Mariners Harbor,62,54,47,"15,325"
213,Emerson Hill,61,56,36,"5,387"
214,Silver Lake,61,59,41,"2,805"
215,Gerritsen Beach,60,60,58,"7,199"
216,Spencer Estates,59,69,49,"3,578"
217,Grymes Hill,59,62,27,"5,252"
218,Tottenville,59,54,46,"14,635"
219,Fort Wadsworth,58,63,55,"2,376"
220,Alley Park,58,56,45,547
221,Willowbrook,56,49,40,"9,688"
222,Ocean Breeze,56,57,51,"2,626"
223,Oakwood,55,60,45,"11,991"
224,Pleasant Plains,55,51,43,"3,603"
225,Rossville,54,44,44,"9,847"
226,Travis - Chelsea,54,44,51,"2,948"
227,Huguenot,51,49,45,"8,671"
228,Broad Channel,51,64,55,"2,412"
229,New Springville,51,57,47,"20,741"
230,Prince's Bay,50,51,55,"6,342"
231,Sea Gate,49,47,53,"4,638"
232,Annadale,48,52,41,"10,021"
233,Todt Hill,48,52,31,"2,003"
234,Bay Terrace,48,60,42,"4,457"
235,Fort Hamilton,46,57,64,763
236,Woodrow,44,48,46,"10,780"
237,Lighthouse Hill,40,46,22,"1,766"
238,Arden Heights,38,44,36,"10,460"
239,Greenridge,37,57,36,"9,021"
240,Charleston,36,43,37,"2,002"
241,Bloomfield,36,54,40,513
242,Randalls-Wards Island,22,66,71,"1,625"
243,Rikers Island,2,34,26,"10,681"
